Year,Month,InteractionTurnover
2008,Oct,1.0
2008,Nov,0.8384
2008,Dec,0.8926
2009,Jan,0.844
2009,Feb,0.9061
2009,Mar,0.9608
2009,Apr,0.9048
2009,May,0.9155
2009,Jun,0.7528
2009,Jul,0.7647
2009,Aug,0.8966
