6,149,1,1,2
6,149,1,1,2
16,149,1,1,2
16,149,1,1,2
31,202,1,1,2
16,149,1,2,2
56,126,1,2,2
91,126,1,2,2
16,175,1,2,2
6,140,1,3,2
91,125,1,4,2
19,131,1,5,2
16,182,1,5,2
16,182,1,5,2
17,182,1,5,2
17,182,1,5,2
82,182,1,5,2
37,184,1,5,2
91,121,1,6,2
91,122,1,6,2
17,131,1,6,2
19,131,1,6,2
31,131,1,6,2
31,131,1,6,2
45,131,1,6,2
53,131,1,6,2
81,148,1,6,2
50,157,1,6,2
42,165,1,6,2
16,182,1,6,2
16,182,1,6,2
17,182,1,6,2
17,182,1,6,2
17,182,1,6,2
41,182,1,6,2
16,193,1,6,2
26,193,1,6,2
29,193,1,6,2
30,193,1,6,2
31,193,1,6,2
31,193,1,6,2
52,193,1,6,2
71,193,1,6,2
62,203,1,6,2
91,121,1,7,2
91,121,1,7,2
16,131,1,7,2
16,131,1,7,2
13,147,1,7,2
67,148,1,7,2
66,152,1,7,2
10,182,1,7,2
16,182,1,7,2
31,182,1,7,2
16,193,1,7,2
26,193,1,7,2
31,193,1,7,2
52,193,1,7,2
59,193,1,7,2
82,193,1,7,2
90,193,1,7,2
8,117,1,7,2
51,117,1,7,2
104,117,1,7,2
80,152,1,7,2
80,171,1,7,2
20,193,1,7,2
21,193,1,7,2
30,193,1,7,2
54,193,1,7,2
54,193,1,7,2
59,193,1,7,2
67,193,1,7,2
108,204,1,7,2
41,193,1,8,2
90,121,1,8,2
105,121,1,8,2
7,122,1,8,2
32,122,1,8,2
66,165,1,8,2
69,174,1,8,2
53,182,1,8,2
88,182,1,8,2
54,183,1,8,2
54,183,1,8,2
54,183,1,9,2
60,183,1,9,2
62,183,1,9,2
54,192,1,9,2
98,143,1,9,2
65,144,1,9,2
66,152,1,9,2
66,152,1,9,2
67,152,1,9,2
67,152,1,9,2
82,152,1,9,2
83,152,1,9,2
91,152,1,9,2
102,152,1,9,2
102,152,1,9,2
16,182,1,9,2
35,182,1,9,2
