Bee #,Plant #,Collection #,Season
229,141,82,2
238,27,82,2
238,141,82,2
239,105,82,2
239,141,82,2
241,141,82,2
247,143,82,2
248,143,82,2
256,141,82,2
258,105,82,2
275,27,82,2
275,141,82,2
276,143,82,2
277,27,82,2
277,141,82,2
279,27,82,2
279,27,82,2
318,105,82,2
342,27,82,2
344,27,82,2
344,27,82,2
348,27,82,2
348,27,82,2
362,105,82,2
362,105,82,2
362,105,82,2
362,116,82,2
362,116,82,2
363,105,82,2
364,27,82,2
364,27,82,2
364,141,82,2
369,27,82,2
377,105,82,2
377,143,82,2
380,143,82,2
191,105,83,2
257,105,83,2
265,105,83,2
269,168,83,2
293,105,83,2
302,105,83,2
362,105,83,2
362,105,83,2
362,105,83,2
376,58,83,2
217,143,84,2
248,143,84,2
248,143,84,2
277,27,84,2
342,27,84,2
343,143,84,2
344,27,84,2
344,143,84,2
364,27,84,2
364,27,84,2
364,27,84,2
184,133,85,2
194,179,85,2
194,179,85,2
195,143,85,2
197,132,85,2
216,168,85,2
217,150,85,2
250,179,85,2
276,125,85,2
276,143,85,2
364,125,85,2
366,179,85,2
187,125,86,2
195,125,86,2
196,125,86,2
196,125,86,2
202,125,86,2
203,125,86,2
204,125,86,2
213,125,86,2
216,125,86,2
216,125,86,2
216,125,86,2
216,125,86,2
216,125,86,2
216,125,86,2
216,125,86,2
216,125,86,2
277,19,86,2
279,125,86,2
341,125,86,2
350,125,86,2
216,125,87,2
216,125,87,2
216,125,87,2
225,27,87,2
276,125,87,2
277,27,87,2
277,125,87,2
279,125,87,2
184,133,88,2
184,133,88,2
184,133,88,2
184,133,88,2
184,133,88,2
184,133,88,2
184,133,88,2
184,133,88,2
184,133,88,2
196,125,88,2
212,125,88,2
216,125,88,2
216,125,88,2
216,125,88,2
216,125,88,2
216,125,88,2
216,125,88,2
217,125,88,2
217,143,88,2
224,125,88,2
250,107,88,2
277,125,88,2
296,125,88,2
296,133,88,2
341,125,88,2
341,125,88,2
346,133,88,2
350,133,88,2
352,133,88,2
378,107,88,2
378,133,88,2
378,143,88,2
190,54,89,2
194,54,89,2
195,125,89,2
195,125,89,2
195,125,89,2
197,125,89,2
197,125,89,2
201,125,89,2
202,125,89,2
203,125,89,2
203,125,89,2
203,125,89,2
203,125,89,2
205,125,89,2
208,125,89,2
212,125,89,2
212,125,89,2
213,125,89,2
213,125,89,2
213,125,89,2
214,125,89,2
214,125,89,2
214,125,89,2
214,125,89,2
224,104,89,2
247,8,89,2
248,125,89,2
250,129,89,2
252,125,89,2
253,69,89,2
254,91,89,2
279,125,89,2
284,125,89,2
284,130,89,2
289,22,89,2
289,125,89,2
290,8,89,2
290,125,89,2
290,168,89,2
291,125,89,2
311,69,89,2
318,168,89,2
327,91,89,2
341,125,89,2
341,125,89,2
348,92,89,2
348,125,89,2
348,125,89,2
350,22,89,2
350,125,89,2
355,125,89,2
356,125,89,2
364,69,89,2
364,142,89,2
375,13,89,2
378,91,89,2
378,125,89,2
380,125,89,2
386,125,89,2
386,125,89,2
230,178,90,2
277,178,90,2
277,178,90,2
279,125,90,2
287,143,90,2
289,143,90,2
315,133,90,2
324,133,90,2
378,178,90,2
195,125,91,2
200,31,91,2
205,105,91,2
217,143,91,2
217,150,91,2
217,105,91,2
248,133,91,2
249,107,91,2
252,107,91,2
275,31,91,2
276,31,91,2
276,31,91,2
276,31,91,2
276,31,91,2
276,31,91,2
278,31,91,2
279,31,91,2
290,150,91,2
312,105,91,2
325,125,91,2
325,133,91,2
325,143,91,2
341,150,91,2
341,150,91,2
344,31,91,2
344,31,91,2
344,31,91,2
355,125,91,2
364,125,91,2
364,125,91,2
385,150,91,2
190,168,92,2
194,180,92,2
196,168,92,2
216,151,92,2
250,107,92,2
289,138,92,2
341,130,92,2
341,151,92,2
195,180,93,2
195,180,93,2
196,180,93,2
197,180,93,2
197,180,93,2
202,180,93,2
364,138,93,2
247,26,94,2
362,26,94,2
367,13,94,2
372,150,94,2
375,130,94,2
378,167,94,2
378,167,94,2
190,180,96,2
194,180,96,2
194,180,96,2
194,180,96,2
195,180,96,2
196,180,96,2
196,180,96,2
225,150,96,2
278,150,96,2
313,134,96,2
358,130,96,2
387,150,96,2
194,131,97,2
196,131,97,2
217,151,97,2
216,43,97,2
216,45,97,2
216,45,97,2
216,151,97,2
225,150,97,2
225,130,97,2
244,15,97,2
269,174,97,2
281,43,97,2
281,130,97,2
283,135,97,2
323,49,97,2
323,49,97,2
323,174,97,2
341,45,97,2
341,130,97,2
364,59,97,2
364,59,97,2
364,59,97,2
364,59,97,2
378,131,97,2
378,155,97,2
378,155,97,2
378,155,97,2
378,155,97,2
378,155,97,2
378,155,97,2
382,49,97,2
188,164,98,2
203,34,98,2
209,88,98,2
216,34,98,2
216,70,98,2
221,130,98,2
250,78,98,2
252,145,98,2
252,164,98,2
252,164,98,2
276,16,98,2
279,48,98,2
279,130,98,2
281,147,98,2
378,59,98,2
378,145,98,2
380,20,98,2
381,34,98,2
387,20,98,2
225,150,99,2
278,150,99,2
357,54,99,2
186,147,100,2
195,43,100,2
200,151,100,2
216,16,100,2
323,151,100,2
323,151,100,2
350,43,100,2
350,148,100,2
355,151,100,2
364,16,100,2
364,16,100,2
364,164,100,2
375,152,100,2
361,9,101,2
375,59,101,2
375,117,101,2
378,22,101,2
378,22,101,2
378,22,101,2
378,59,101,2
378,117,101,2
378,117,101,2
378,117,101,2
378,117,101,2
378,117,101,2
378,130,101,2
194,180,102,2
194,180,102,2
195,180,102,2
225,150,102,2
250,90,102,2
252,90,102,2
277,150,102,2
285,150,102,2
327,90,102,2
356,150,102,2
373,90,102,2
378,71,102,2
378,71,102,2
378,167,102,2
378,167,102,2
195,180,103,2
195,180,103,2
195,180,103,2
195,180,103,2
196,180,103,2
235,16,103,2
249,180,103,2
252,180,103,2
278,16,103,2
339,180,103,2
350,180,103,2
364,16,103,2
378,62,103,2
387,150,103,2
196,28,104,2
225,16,104,2
225,150,104,2
249,90,104,2
251,90,104,2
251,90,104,2
254,28,104,2
276,28,104,2
276,28,104,2
277,28,104,2
277,28,104,2
283,28,104,2
286,90,104,2
309,154,104,2
350,28,104,2
191,61,105,2
199,167,105,2
203,54,105,2
214,150,105,2
249,114,105,2
277,13,105,2
309,77,105,2
345,13,105,2
345,151,105,2
348,57,105,2
348,165,105,2
350,57,105,2
350,167,105,2
361,9,105,2
367,61,105,2
371,61,105,2
378,41,105,2
378,43,105,2
378,43,105,2
378,59,105,2
378,59,105,2
378,59,105,2
378,59,105,2
378,167,105,2
194,16,106,2
225,150,106,2
277,13,106,2
341,130,106,2
350,103,106,2
378,43,106,2
378,43,106,2
378,182,106,2
380,43,106,2
380,43,106,2
195,106,107,2
209,8,107,2
225,150,107,2
279,13,107,2
281,130,107,2
281,138,107,2
364,52,107,2
364,52,107,2
364,62,107,2
378,43,107,2
185,51,108,2
341,150,108,2
350,51,108,2
350,51,108,2
378,43,108,2
378,43,108,2
185,150,109,2
195,130,109,2
202,112,109,2
225,130,109,2
248,66,109,2
248,112,109,2
249,66,109,2
252,172,109,2
312,66,109,2
312,66,109,2
348,170,109,2
363,112,109,2
364,130,109,2
385,66,109,2
194,117,110,2
195,126,110,2
196,117,110,2
200,43,110,2
205,52,110,2
205,117,110,2
205,126,110,2
217,130,110,2
216,130,110,2
225,117,110,2
225,130,110,2
236,130,110,2
236,130,110,2
248,117,110,2
277,130,110,2
279,130,110,2
279,150,110,2
325,117,110,2
334,13,110,2
341,130,110,2
341,130,110,2
341,130,110,2
350,43,110,2
350,130,110,2
359,126,110,2
359,126,110,2
372,43,110,2
375,136,110,2
378,43,110,2
378,43,110,2
378,43,110,2
378,62,110,2
378,117,110,2
378,126,110,2
378,130,110,2
378,130,110,2
378,130,110,2
378,130,110,2
378,167,110,2
385,117,110,2
387,154,110,2
190,148,111,2
206,43,111,2
216,130,111,2
222,162,111,2
225,130,111,2
225,148,111,2
225,130,111,2
225,150,111,2
225,162,111,2
281,130,111,2
341,162,111,2
341,162,111,2
360,172,111,2
377,43,111,2
184,172,112,2
194,43,112,2
194,168,112,2
195,43,112,2
195,168,112,2
196,154,112,2
196,154,112,2
216,154,112,2
225,13,112,2
225,148,112,2
225,150,112,2
228,13,112,2
236,130,112,2
248,168,112,2
249,172,112,2
259,130,112,2
277,13,112,2
277,28,112,2
277,28,112,2
277,162,112,2
277,172,112,2
279,150,112,2
279,172,112,2
281,83,112,2
281,130,112,2
296,172,112,2
298,172,112,2
298,172,112,2
312,172,112,2
317,172,112,2
324,180,112,2
334,13,112,2
341,43,112,2
348,13,112,2
348,43,112,2
348,43,112,2
348,127,112,2
350,154,112,2
378,13,112,2
378,43,112,2
378,43,112,2
378,43,112,2
378,43,112,2
385,93,112,2
