Season,Year,Month,NoDaysInMonth,AverageDailyVisits
wet,131,Nov,61,1.21
wet,183,Dec,36,1.22
wet,118,Jan,107,1.19
wet,156,Feb,25,2.0
wet,116,Mar,194,1.56
dry,132,Apr,20,1.15
dry,147,May,20,1.25
dry,129,Jun,46,1.5
dry,117,Jul,30,2.27
dry,136,Aug,51,2.92
dry,127,Sep,8,3.25
wet,149,Oct,9,1.22
