Year,Month,Day,Precipitation (mm),Temp (Max),Temp (Min),Humidity
1995,3,18,16.4,29.1,19.2,81
1995,3,19,36.2,25.3,13.2,88
1995,3,20,46.6,28,15.7,72
1995,3,21,0,29.2,17.1,78
1995,3,22,11.7,27,17.2,79
1995,3,23,20.4,26.9,16.8,81
1995,3,24,0,24.5,17.3,88
1995,3,25,0,28.3,18.4,77
1995,3,26,71.9,27.3,18.7,86
1995,3,27,33.9,26.7,16.6,81
1995,3,28,14.7,27.5,18.3,83
1995,3,29,12.6,27.7,18.7,84
1995,3,30,0,26.7,16.8,86
1995,3,31,0,26.4,17,84
1995,4,1,25,27.5,17.2,79
1995,4,2,0,29.1,17,73
1995,4,3,1.3,26.1,18.3,84
1995,4,4,0,26.8,17.5,81
1995,4,5,0,23.7,18.9,86
1995,4,6,0.6,24.4,17.6,86
1995,4,7,0.6,24.9,17.6,88
1995,4,8,25.3,25.2,15.7,85
1995,4,9,0.2,26,17.4,84
1995,4,10,0.6,25.9,16.8,77
1995,4,11,0,28,15,76
1995,4,12,0.8,26.7,15.2,83
1995,4,13,0,25.8,17,88
1995,4,14,0,26.9,15,80
1995,4,15,0,27,16,79
1995,4,16,0,26.7,16,73
1995,4,17,0,27.9,16.1,64
1995,4,18,0,28.6,15.1,67
1995,4,19,0,27.5,17,75
1995,4,20,2.5,27.7,18.9,86
1995,4,21,9.1,25.4,17.2,88
1995,4,22,78.4,28.3,18.4,83
1995,4,23,33.5,25.3,17.2,83
1995,4,24,0,28,16.2,81
1995,4,25,34.8,27.8,17.4,81
1995,4,26,4.4,27.2,17.5,75
1995,4,27,0,27.4,16.1,72
1995,4,28,0,26.1,15,65
1995,4,29,0,26.7,14.6,70
1995,4,30,0,26.3,14.6,75
1995,5,1,0,25.7,14.4,79
1995,5,2,0,27,15,83
1995,5,3,9,28.2,16,73
1995,5,4,0,28.3,14.6,76
1995,5,5,0,25,16.2,85
1995,5,6,0,23.4,14.8,84
1995,5,7,3.1,25.5,18.4,92
1995,5,8,0,25.3,15.5,87
1995,5,9,0,26.9,17.2,82
1995,5,10,0,27.9,18.7,80
1995,5,11,17.5,27,18.6,87
1995,5,12,0,25.8,17.1,91
1995,5,13,2.8,26,16.8,92
1995,5,14,0,26.1,16.7,79
1995,5,15,0,26,16.6,82
1995,5,16,0,26.3,16.3,78
1995,5,17,0,27.4,16.1,72
1995,5,18,0,27.6,14.1,72
1995,5,19,0,26.7,17,71
1995,5,20,0,27.3,12.2,71
1995,5,21,0,25.7,12.2,73
1995,5,22,0,26.9,11.4,69
1995,5,23,0,26.9,13.7,77
1995,5,24,0,26.3,13.4,74
1995,5,25,0,25.3,12.7,72
1995,5,26,0,25.9,14,68
1995,5,27,0,25.1,14.6,72
1995,5,28,0,24.2,15.8,73
1995,5,29,0,25.4,12,67
1995,5,30,0,25.3,10.6,67
1995,5,31,0,26.3,10.6,63
1995,6,1,0,26.5,13,56
1995,6,2,0,25.7,11.6,64
1995,6,3,0,24.9,11,57
1995,6,4,0,25.1,12.9,65
1995,6,5,0,24.3,10.3,68
1995,6,6,0,24.3,9.3,61
1995,6,7,0,25.3,8.4,50
1995,6,8,0,24.8,7,46
1995,6,9,0,25.6,8.3,56
1995,6,10,0,25.5,8,53
1995,6,11,0,25,9.3,59
1995,6,12,0,24.2,13.1,63
1995,6,13,0,25,11,62
1995,6,14,0,25.7,10.4,58
1995,6,15,0,25.6,12.6,56
1995,6,16,0,26.5,8.9,59
1995,6,17,0,27,10.6,71
1995,6,18,0,27.9,11.4,67
1995,6,19,0,25.1,15.3,76
1995,6,20,0,25.5,13,68
1995,6,21,0,24.5,12.2,76
1995,6,22,0,24.4,13,67
1995,6,23,0,25.3,11.2,65
1995,6,24,0,25.9,12.2,63
1995,6,25,0,26.9,11.6,71
1995,6,26,0,26.7,11.8,62
1995,6,27,0,26.9,14,67
1995,6,28,0,25.4,14.2,66
1995,6,29,0,25.4,13.1,66
1995,6,30,0,24.9,12.4,71
1995,7,1,0,24.8,12.8,71
1995,7,2,0,25.7,13,68
1995,7,3,0,26.5,12.1,62
1995,7,4,0,25.3,13.8,53
1995,7,5,0,25.4,14.1,68
1995,7,6,0,26.2,12.7,61
1995,7,7,0,27.4,11.8,62
1995,7,8,0,27.7,10.2,48
1995,7,9,0,27.8,10.9,48
1995,7,10,0,29.3,10.5,40
1995,7,11,0,27.5,12.2,51
1995,7,12,0,26,14,61
1995,7,13,0,24.8,14.4,63
1995,7,14,0,25.6,14,62
1995,7,15,0,25.3,14.4,69
1995,7,16,0,25.3,13.8,69
1995,7,17,0,24.7,11.6,55
1995,7,18,0,24.9,10.3,56
1995,7,19,0,25.2,12.3,54
1995,7,20,0,26.3,10.6,56
1995,7,21,0,25.7,12.3,58
1995,7,22,0,25,10.2,57
1995,7,23,0,26.2,10.2,53
1995,7,24,0,27.2,9.8,48
1995,7,25,0,26.8,13,49
1995,7,26,0,26.5,11.2,62
1995,7,27,0,25.9,11.8,50
1995,7,28,0,26.4,11.5,61
1995,7,29,0,26.5,13,55
1995,7,30,0,26.5,14.6,53
1995,7,31,0,25.8,13,46
1995,8,1,0,25.3,12.2,51
1995,8,2,0,27.8,14.4,49
1995,8,3,0,28.5,15.8,42
1995,8,4,0,30.6,15.5,37
1995,8,5,0,30.3,12,37
1995,8,6,0,28.7,14.5,40
1995,8,7,0,27.7,14.6,52
1995,8,8,0,27.7,14.3,42
1995,8,9,0,28.5,13.3,42
1995,8,10,0,29,10.6,35
1995,8,11,0,29.9,11.3,33
1995,8,12,0,29.9,12.4,38
1995,8,13,0,30,11.6,32
1995,8,14,0,31.1,11.8,32
1995,8,15,0,32.1,12,35
1995,8,16,0,31.5,12,25
1995,8,17,0,27.9,13.6,40
1995,8,18,0,26.4,13,54
1995,8,19,0,27.5,10.6,42
1995,8,20,0,27.6,12.3,37
1995,8,21,0,27.2,14.1,43
1995,8,22,0,26.5,13,52
1995,8,23,0,26.5,13.4,46
1995,8,24,0,27.2,12.8,37
1995,8,25,0,26.9,12.2,50
1995,8,26,0,25.9,12.9,49
1995,8,27,0,27.4,13.4,48
1995,8,28,0,28.9,15.1,38
1995,8,29,0,31,10.9,28
1995,8,30,0,31.2,11,25
1995,8,31,0,30.1,14.8,34
1995,9,1,0,29.5,14.8,31
1995,9,2,0,31.5,10.4,21
1995,9,3,0,31.3,14.6,29
1995,9,4,0,27.2,15.1,40
1995,9,5,0,24.2,12.4,45
1995,9,6,0,25.9,12.5,49
1995,9,7,0,26.4,12,48
1995,9,8,0,28,10,38
1995,9,9,0,29.9,10.8,34
1995,9,10,0,30.7,11.6,28
1995,9,11,0,31.9,11.9,24
1995,9,12,0,32.2,13.3,21
1995,9,13,0,30.9,13.8,34
1995,9,14,0,30.5,14.2,39
1995,9,15,0,33.1,13,32
1995,9,16,0,32.5,15.2,42
1995,9,17,0,33,13.6,36
1995,9,18,0,26.8,17.8,63
1995,9,19,0.3,28.7,16.6,59
1995,9,20,0,29.9,17.2,55
1995,9,21,0,29.7,17.6,62
1995,9,22,0,27.9,16.8,51
1995,9,23,0,27.9,15.4,57
1995,9,24,0,30.7,13.3,45
1995,9,25,0,33.1,15,37
1995,9,26,0,31.8,15.2,37
1995,9,27,4.7,28.3,16,66
1995,9,28,0,31.3,17.4,49
1995,9,29,0,29.2,16.6,54
1995,9,30,0,32.3,15,33
1995,10,1,0,29.7,15.6,47
1995,10,2,0,32,15.2,34
1995,10,3,0,34.3,15.2,28
1995,10,4,0,32.7,17.3,41
1995,10,5,0,31.7,16.6,56
1995,10,6,0,30.2,18.8,72
1995,10,7,4.9,31,15.6,64
1995,10,8,14.2,28.6,16.4,69
1995,10,9,0,27.3,17.1,68
1995,10,10,0.3,24.3,17.2,85
1995,10,11,2.6,29.8,16.3,69
1995,10,12,0,29.9,17.4,69
1995,10,13,0.7,30.1,14.8,81
1995,10,14,8.4,30.2,18.9,72
1995,10,15,3.4,31.4,17.3,57
1995,10,16,0,31.9,16.9,32
1995,10,17,0,31.7,15.6,49
1995,10,18,0,31.2,14.8,48
1995,10,19,0,30.6,16,51
1995,10,20,0.9,31.8,18.4,49
1995,10,21,5.9,29.9,15.2,76
1995,10,22,2,29.6,15.1,63
1995,10,23,0,30.3,15.2,43
1995,10,24,0,31.1,18.6,58
1995,10,25,0,31.1,13.6,47
1995,10,26,0,31.1,15.8,42
1995,10,27,0,32.9,14.2,40
1995,10,28,0,33.7,16.2,49
1995,10,29,25.4,33.6,17.3,71
1995,10,30,0,27.3,16.3,74
1995,10,31,17.8,25.3,15.8,81
1995,11,1,4.8,26.5,14.4,84
1995,11,2,9.1,27.3,14.7,91
1995,11,3,14.1,24.5,16.3,83
1995,11,4,39.1,24.1,16.6,94
1995,11,5,40.2,21.7,14.8,87
1995,11,6,0.4,26.1,15.8,67
1995,11,7,0,27,16,63
