System	Season	Month	Day	Year	Bee	Plant
BBG	wet	10	3	1995	276	140
BBG	wet	10	3	1995	296	140
BBG	wet	10	3	1995	350	29
BBG	wet	10	3	1995	350	140
BBG	wet	10	10	1995	216	119
BBG	wet	10	10	1995	216	140
BBG	wet	10	10	1995	216	140
BBG	wet	10	10	1995	216	153
BBG	wet	10	10	1995	216	158
BBG	wet	10	10	1995	217	150
BBG	wet	10	10	1995	217	153
BBG	wet	10	10	1995	217	158
BBG	wet	10	10	1995	217	158
BBG	wet	10	10	1995	217	158
BBG	wet	10	10	1995	335	80
BBG	wet	10	10	1995	335	80
BBG	wet	10	10	1995	335	80
BBG	wet	10	10	1995	341	97
BBG	wet	10	10	1995	341	97
BBG	wet	10	10	1995	341	150
BBG	wet	10	10	1995	341	150
BBG	wet	10	10	1995	378	39
BBG	wet	10	10	1995	378	79
BBG	wet	10	10	1995	380	97
BBG	wet	10	10	1995	380	97
BBG	wet	10	17	1995	222	29
BBG	wet	10	17	1995	284	97
BBG	wet	10	17	1995	350	97
BBG	wet	10	17	1995	378	97
BBG	wet	10	17	1995	378	120
BBG	wet	10	24	1995	216	108
BBG	wet	10	24	1995	216	158
BBG	wet	10	24	1995	216	158
BBG	wet	10	24	1995	216	158
BBG	wet	10	24	1995	238	31
BBG	wet	10	24	1995	273	31
BBG	wet	10	24	1995	277	97
BBG	wet	10	24	1995	324	153
BBG	wet	10	24	1995	341	97
BBG	wet	10	24	1995	344	31
BBG	wet	10	24	1995	344	158
BBG	wet	10	24	1995	350	97
BBG	wet	10	24	1995	378	108
BBG	wet	10	24	1995	378	108
BBG	wet	10	24	1995	378	108
BBG	wet	10	24	1995	378	108
BBG	wet	10	24	1995	378	108
BBG	wet	10	24	1995	378	121
BBG	wet	10	24	1995	378	121
BBG	wet	10	31	1995	216	35
BBG	wet	10	31	1995	216	35
BBG	wet	10	31	1995	216	35
BBG	wet	10	31	1995	216	35
BBG	wet	10	31	1995	216	35
BBG	wet	10	31	1995	216	35
BBG	wet	10	31	1995	216	35
BBG	wet	10	31	1995	216	73
BBG	wet	10	31	1995	216	74
BBG	wet	10	31	1995	216	121
BBG	wet	10	31	1995	216	121
BBG	wet	10	31	1995	216	121
BBG	wet	10	31	1995	217	35
BBG	wet	10	31	1995	290	121
BBG	wet	10	31	1995	296	121
BBG	wet	10	31	1995	341	97
BBG	wet	10	31	1995	350	74
BBG	wet	10	31	1995	350	97
BBG	wet	10	31	1995	351	74
BBG	wet	10	31	1995	378	152
BBG	wet	11	7	1995	216	151
BBG	wet	11	7	1995	217	151
BBG	wet	11	7	1995	279	31
BBG	wet	11	23	1995	278	31
BBG	wet	11	23	1995	279	31
BBG	wet	11	23	1995	344	31
BBG	wet	11	23	1995	344	31
BBG	wet	11	23	1995	355	150
BBG	wet	12	5	1995	290	58
BBG	wet	12	5	1995	294	181
BBG	wet	12	5	1995	301	181
BBG	wet	12	5	1995	348	98
BBG	wet	12	5	1995	351	181
BBG	wet	12	5	1995	351	181
BBG	wet	12	5	1995	351	181
BBG	wet	12	5	1995	362	181
BBG	wet	12	5	1995	362	181
BBG	wet	12	5	1995	362	181
BBG	wet	12	5	1995	362	181
BBG	wet	12	5	1995	362	181
BBG	wet	12	5	1995	362	181
BBG	wet	12	5	1995	362	181
BBG	wet	12	5	1995	362	181
BBG	wet	12	5	1995	378	58
BBG	wet	12	5	1995	378	58
BBG	wet	12	5	1995	378	58
BBG	wet	12	19	1995	355	150
BBG	wet	1	9	1996	216	133
BBG	wet	1	9	1996	296	150
BBG	wet	1	9	1996	296	150
BBG	wet	1	9	1996	341	150
BBG	wet	1	25	1996	190	150
BBG	wet	1	25	1996	355	150
BBG	wet	1	30	1996	341	150
BBG	wet	2	6	1996	183	61
