Month,Collection Day,Year,Bee Nr,Plant Nr
Jan,15,2009,91,162
Feb,16,2009,4,156
Feb,16,2009,60,182
Feb,16,2009,63,182
Feb,16,2009,53,116
Feb,16,2009,78,117
Feb,16,2009,56,124
Feb,16,2009,11,144
Feb,16,2009,16,144
Feb,16,2009,37,144
Feb,16,2009,40,144
Feb,16,2009,40,144
Feb,16,2009,87,144
Feb,16,2009,102,144
Feb,16,2009,48,154
Feb,16,2009,96,154
Feb,16,2009,96,154
Feb,16,2009,96,154
Feb,16,2009,96,154
Feb,16,2009,96,154
Feb,16,2009,6,175
Feb,16,2009,6,175
Feb,16,2009,6,175
Feb,16,2009,6,175
Feb,16,2009,6,175
Feb,16,2009,6,175
Feb,16,2009,14,175
Feb,16,2009,68,175
Feb,16,2009,73,175
Feb,16,2009,73,175
Feb,16,2009,92,175
Feb,16,2009,92,175
Feb,16,2009,92,175
Feb,16,2009,92,175
Feb,16,2009,92,175
Feb,16,2009,92,175
Feb,16,2009,92,175
Feb,16,2009,93,175
Feb,16,2009,93,175
Feb,16,2009,93,175
Feb,16,2009,96,175
Feb,16,2009,96,175
Feb,16,2009,96,175
Feb,16,2009,96,175
Feb,16,2009,96,175
Feb,16,2009,96,175
Feb,16,2009,96,175
Feb,16,2009,102,175
Feb,16,2009,68,176
Feb,16,2009,73,176
Feb,16,2009,16,178
Mar,17,2009,55,116
Mar,17,2009,87,116
Mar,17,2009,35,148
Mar,17,2009,36,148
Mar,17,2009,36,148
Mar,17,2009,40,148
Mar,17,2009,51,148
Mar,17,2009,100,148
Mar,17,2009,87,155
Mar,17,2009,90,155
Mar,17,2009,2,160
Mar,17,2009,2,160
Mar,17,2009,91,160
Mar,17,2009,91,175
Mar,17,2009,91,175
Mar,17,2009,6,178
Mar,17,2009,73,178
Mar,17,2009,96,178
Mar,17,2009,102,178
Mar,17,2009,102,178
Mar,17,2009,84,195
Mar,17,2009,6,205
Mar,17,2009,6,205
Mar,17,2009,36,205
Mar,17,2009,37,205
Mar,17,2009,37,205
Mar,17,2009,37,205
Mar,17,2009,91,205
Mar,18,2009,99,117
Mar,18,2009,91,121
Mar,18,2009,104,124
Mar,18,2009,67,160
Mar,18,2009,39,161
Mar,18,2009,91,203
Mar,18,2009,6,160
Mar,19,2009,61,113
Mar,19,2009,101,116
Mar,19,2009,16,119
Mar,19,2009,16,119
Mar,19,2009,96,119
Mar,19,2009,100,119
Mar,19,2009,16,120
Mar,19,2009,17,120
Mar,19,2009,90,120
Mar,19,2009,96,121
Mar,19,2009,90,132
Mar,19,2009,102,132
Mar,19,2009,34,134
Mar,19,2009,91,134
Mar,19,2009,91,134
Mar,19,2009,91,134
Mar,19,2009,67,142
Mar,19,2009,82,142
Mar,19,2009,108,142
Mar,19,2009,80,144
Mar,19,2009,91,145
Mar,19,2009,6,147
Mar,19,2009,16,147
Mar,19,2009,40,147
Mar,19,2009,40,147
Mar,19,2009,52,147
Mar,19,2009,54,147
Mar,19,2009,71,147
Mar,19,2009,71,147
Mar,19,2009,87,147
Mar,19,2009,90,147
Mar,19,2009,90,147
Mar,19,2009,6,148
