Year,Month,bints
1995,6,0.8462
1995,7,0.8033
1995,8,0.2644
1995,9,0.5789
1995,10,0.3469
1995,11,0.8571
1995,12,0.8462
1996,1,0.9333
1996,2,0.6491
1996,3,0.6531
1996,4,0.4615
1996,5,0.4141
1996,6,0.1475
1996,7,0.4231
1996,8,0.3699
1996,9,0.2807
1996,10,0.5664
1996,11,0.4176
1996,12,0.5067
1997,1,0.4328
1997,2,0.4667
1997,3,0.3583
1997,4,0.1717
1997,5,0.4828
