Month,Day,Year,Bee,Plant
1,28,1997,380,20
1,28,1997,381,34
1,28,1997,387,20
1,30,1997,357,54
2,4,1997,186,147
2,4,1997,195,43
2,4,1997,200,151
2,4,1997,216,16
2,4,1997,323,151
2,4,1997,350,43
2,4,1997,350,148
2,4,1997,355,151
2,4,1997,364,16
2,4,1997,364,164
2,4,1997,375,152
2,5,1997,361,9
2,5,1997,375,59
2,5,1997,375,117
2,5,1997,378,22
2,5,1997,378,59
2,5,1997,378,117
2,5,1997,378,130
2,6,1997,194,180
2,6,1997,195,180
2,6,1997,225,150
2,6,1997,250,90
2,6,1997,252,90
2,6,1997,277,150
2,6,1997,285,150
2,6,1997,327,90
2,6,1997,356,150
2,6,1997,373,90
2,6,1997,378,71
2,6,1997,378,167
2,13,1997,196,180
2,13,1997,235,16
2,13,1997,249,180
2,13,1997,252,180
2,13,1997,278,16
2,13,1997,339,180
2,13,1997,350,180
2,13,1997,378,62
2,13,1997,387,150
2,18,1997,196,28
2,18,1997,225,16
2,18,1997,249,90
2,18,1997,251,90
2,18,1997,254,28
2,18,1997,276,28
2,18,1997,277,28
2,18,1997,283,28
2,18,1997,286,90
2,18,1997,309,154
2,18,1997,350,28
2,19,1997,191,61
2,19,1997,199,167
2,19,1997,203,54
2,19,1997,214,150
2,19,1997,249,114
2,19,1997,277,13
2,19,1997,309,77
2,19,1997,345,13
2,19,1997,345,151
2,19,1997,348,57
2,19,1997,348,165
2,19,1997,350,57
2,19,1997,350,167
2,19,1997,367,61
2,19,1997,371,61
2,19,1997,378,41
2,19,1997,378,43
2,25,1997,194,16
2,25,1997,341,130
2,25,1997,350,103
2,25,1997,378,182
2,25,1997,380,43
3,6,1997,195,106
3,6,1997,209,8
3,6,1997,225,150
3,6,1997,279,13
3,6,1997,281,130
3,6,1997,281,138
3,6,1997,364,52
3,6,1997,364,62
3,6,1997,378,43
3,7,1997,185,51
3,7,1997,341,150
3,7,1997,350,51
3,12,1997,185,150
3,12,1997,195,130
3,12,1997,202,112
3,12,1997,225,130
3,12,1997,248,66
3,12,1997,248,112
3,12,1997,249,66
3,12,1997,252,172
3,12,1997,312,66
3,12,1997,348,170
3,12,1997,363,112
3,12,1997,364,130
3,12,1997,385,66
3,13,1997,194,117
3,13,1997,195,126
3,13,1997,196,117
3,13,1997,200,43
3,13,1997,205,52
3,13,1997,205,117
3,13,1997,205,126
3,13,1997,217,130
3,13,1997,216,130
3,13,1997,225,117
3,13,1997,236,130
3,13,1997,248,117
3,13,1997,277,130
3,13,1997,279,130
3,13,1997,279,150
3,13,1997,325,117
3,13,1997,334,13
3,13,1997,341,130
3,13,1997,350,43
3,13,1997,350,130
3,13,1997,359,126
3,13,1997,372,43
3,13,1997,375,136
3,13,1997,378,62
3,13,1997,378,117
3,13,1997,378,126
3,13,1997,378,130
3,13,1997,378,167
3,13,1997,385,117
3,13,1997,387,154
3,24,1997,190,148
3,24,1997,206,43
3,24,1997,222,162
3,24,1997,225,148
3,24,1997,225,162
3,24,1997,341,162
3,24,1997,360,172
3,24,1997,377,43
3,25,1997,184,172
3,25,1997,194,43
3,25,1997,194,168
3,25,1997,195,43
3,25,1997,195,168
3,25,1997,196,154
3,25,1997,216,154
3,25,1997,225,13
3,25,1997,228,13
3,25,1997,248,168
3,25,1997,249,172
3,25,1997,259,130
3,25,1997,277,13
3,25,1997,277,28
3,25,1997,277,162
3,25,1997,277,172
3,25,1997,279,172
3,25,1997,281,83
3,25,1997,296,172
3,25,1997,298,172
3,25,1997,312,172
3,25,1997,317,172
3,25,1997,324,180
3,25,1997,341,43
3,25,1997,348,13
3,25,1997,348,43
3,25,1997,348,127
3,25,1997,350,154
3,25,1997,378,13
3,25,1997,385,93
4,2,1997,217,130
4,2,1997,225,172
4,2,1997,225,18
4,2,1997,239,172
4,2,1997,240,172
4,2,1997,278,16
4,2,1997,279,172
4,2,1997,281,172
4,2,1997,281,130
4,2,1997,296,136
4,2,1997,312,172
4,2,1997,317,172
4,2,1997,326,172
4,2,1997,333,18
4,2,1997,333,172
4,2,1997,348,172
4,2,1997,378,93
4,2,1997,378,130
4,2,1997,386,172
4,3,1997,184,172
4,3,1997,194,172
4,3,1997,207,172
4,3,1997,224,172
4,3,1997,225,162
4,3,1997,252,172
4,3,1997,261,172
4,3,1997,307,172
4,3,1997,310,172
4,3,1997,314,136
4,3,1997,325,172
4,3,1997,326,83
4,3,1997,341,162
4,3,1997,350,162
4,3,1997,378,154
4,9,1997,194,1
4,9,1997,195,162
4,9,1997,209,43
4,9,1997,216,162
4,9,1997,217,162
4,9,1997,260,168
4,9,1997,279,162
4,9,1997,285,162
4,9,1997,298,172
4,9,1997,333,13
4,9,1997,364,83
4,9,1997,387,162
4,10,1997,184,168
4,10,1997,195,154
4,10,1997,196,62
4,10,1997,196,154
4,10,1997,196,168
4,10,1997,199,154
4,10,1997,203,154
4,10,1997,214,24
4,10,1997,214,172
4,10,1997,216,154
4,10,1997,216,168
4,10,1997,220,172
4,10,1997,225,43
4,10,1997,228,172
4,10,1997,248,61
4,10,1997,268,172
4,10,1997,277,13
4,10,1997,278,172
4,10,1997,281,83
4,10,1997,291,172
4,10,1997,299,168
4,10,1997,299,172
4,10,1997,300,168
4,10,1997,300,172
4,10,1997,319,59
4,10,1997,329,92
4,10,1997,334,172
4,10,1997,341,154
4,10,1997,348,43
4,10,1997,350,24
4,10,1997,350,175
4,10,1997,356,154
4,10,1997,375,182
4,10,1997,378,13
4,10,1997,378,22
4,10,1997,378,24
4,10,1997,378,43
4,10,1997,378,59
4,10,1997,380,98
4,10,1997,385,172
4,16,1997,216,3
4,16,1997,236,16
4,16,1997,279,16
4,16,1997,380,162
4,23,1997,217,172
4,23,1997,216,172
4,23,1997,217,38
4,23,1997,225,38
4,23,1997,223,172
4,23,1997,246,172
4,23,1997,279,168
4,23,1997,281,168
4,23,1997,317,175
4,23,1997,370,43
4,23,1997,381,43
4,23,1997,381,83
4,23,1997,384,172
4,25,1997,194,168
4,25,1997,203,32
4,25,1997,203,83
4,25,1997,203,172
4,25,1997,224,30
4,25,1997,229,172
