Pollinator.name,Taxa,Genus,Species,Size,SizeType,SizeUnits,Mass,MassUnits,Reference
Alocandrena.sp,Alocandrena sp,Alocandrena,sp,11,BL,mm,,,"Michener, C.D., 2000. The bees of the world (Vol. 1). JHU Press."
Amazilia.fimbriata,Amazilia fimbriata,Amazilia,fimbriata,,Mass,,5.7,g,"Epting, R.J. and Casey, T.M., 1973. Power output and wing disc loading in hovering hummingbirds. American Naturalist, pp.761-765."
Amazilia.tobaci,Amazilia tobaci,Amazilia,tobaci,,Mass,,4.275,g,"Wright, N. A., & Steadman, D. W. (2012). Insular avian adaptations on two Neotropical continental islands. Journal of Biogeography, 39(10), 1891_1899. http://doi.org/10.1111/j.1365-2699.2012.02754.x"
Amazilia.versicolor,Amazilia versicolor,Amazilia,versicolor,,Mass,,4.1,g,"Bech, C., Abe, A. S., Steffensen, J. F., Berger, M., & Bicudo, J. E. P. W. (1997). Torpor in Three Species of Brazilian Hummingbirds Under Semi-Natural Conditions. The Condor, 99(3), 780_788. http://doi.org/10.2307/1370489"
Amegilla.albigena,Amegilla albigena,Amegilla,albigena,3.02,ITD,mm,,,"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., — Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (hymenoptera: anthophila) along an urbanization gradient. PLoS ONE, 9(8). http://doi.org/10.1371/journal.pone.0104679"
Amegilla.garrula,Amegilla garrula,Amegilla,garrula,4.28,ITD,mm,,,"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., — Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (hymenoptera: anthophila) along an urbanization gradient. PLoS ONE, 9(8). http://doi.org/10.1371/journal.pone.0104679"
Amegilla.quadrifasciata,Amegilla quadrifasciata,Amegilla,quadrifasciata,3.8,ITD,mm,,,"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., — Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (hymenoptera: anthophila) along an urbanization gradient. PLoS ONE, 9(8). http://doi.org/10.1371/journal.pone.0104679"
Amegilla.salviae,Amegilla salviae,Amegilla,salviae,5.91,ITD,mm,,,"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., — Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (hymenoptera: anthophila) along an urbanization gradient. PLoS ONE, 9(8). http://doi.org/10.1371/journal.pone.0104679"
Amegilla.sp,Amegilla sp,Amegilla,sp,16,BL,mm,,,"Michener, C.D., 2000. The bees of the world (Vol. 1). JHU Press."
Ammobates.sp,Ammobates sp,Ammobates,sp,7.5,BL,mm,,,"Michener, C.D., 2000. The bees of the world (Vol. 1). JHU Press."
Ammobatoides.sp,Ammobatoides sp,Ammobatoides,sp,12,BL,mm,,,"Michener, C.D., 2000. The bees of the world (Vol. 1). JHU Press."
Amphylaeus.sp,Amphylaeus sp,Amphylaeus,sp,9.25,BL,mm,,,"Michener, C.D., 2000. The bees of the world (Vol. 1). JHU Press."
Ancistrocerus.sp,Ancistrocerus sp,Ancistrocerus,sp,9,BL,mm,,,http://bugguide.net/node/view/6812/bgpage
Ancyla.sp,Ancyla sp,Ancyla,sp,7.5,BL,mm,,,"Michener, C.D., 2000. The bees of the world (Vol. 1). JHU Press."
Ancylandrena.sp,Ancylandrena sp,Ancylandrena,sp,11.5,BL,mm,,,"Michener, C.D., 2000. The bees of the world (Vol. 1). JHU Press."
Ancyloscelis.sp,Ancyloscelis sp,Ancyloscelis,sp,8,BL,mm,,,"Michener, C.D., 2000. The bees of the world (Vol. 1). JHU Press."
Andinaugochlora.sp,Andinaugochlora sp,Andinaugochlora,sp,9,BL,mm,,,"Michener, C.D., 2000. The bees of the world (Vol. 1). JHU Press."
Andrena.aeneiventris,Andrena aeneiventris,Andrena,aeneiventris,0.86,ITD,mm,,,"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., — Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (hymenoptera: anthophila) along an urbanization gradient. PLoS ONE, 9(8). http://doi.org/10.1371/journal.pone.0104679"
Andrena.agilissima,Andrena agilissima,Andrena,agilissima,2.94,ITD,mm,,,"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., — Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (hymenoptera: anthophila) along an urbanization gradient. PLoS ONE, 9(8). http://doi.org/10.1371/journal.pone.0104679"
Andrena.alfkenella,Andrena alfkenella,Andrena,alfkenella,1.33,ITD,mm,,,"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., — Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (hymenoptera: anthophila) along an urbanization gradient. PLoS ONE, 9(8). http://doi.org/10.1371/journal.pone.0104679"
Andrena.algida,Andrena algida,Andrena,algida,1.8,ITD,mm,,,"Bartomeus, I., Ascher, J. S., Gibbs, J., Danforth, B. N., Wagner, D. L., Hedtke, S. M., & Winfree, R. (2013). Historical changes in northeastern US bee pollinators related to shared ecological traits. Proceedings of the National Academy of Sciences of the United States of America, 110(12), 4656_60. http://doi.org/10.1073/pnas.1218503110"
Andrena.alleghaniensis,Andrena alleghaniensis,Andrena,alleghaniensis,2.316666667,ITD,mm,,,"Bartomeus, I., Ascher, J. S., Gibbs, J., Danforth, B. N., Wagner, D. L., Hedtke, S. M., & Winfree, R. (2013). Historical changes in northeastern US bee pollinators related to shared ecological traits. Proceedings of the National Academy of Sciences of the United States of America, 110(12), 4656_60. http://doi.org/10.1073/pnas.1218503110"
Andrena.alutacea,Andrena alutacea,Andrena,alutacea,NA,ITD,mm,,,"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., — Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (hymenoptera: anthophila) along an urbanization gradient. PLoS ONE, 9(8). http://doi.org/10.1371/journal.pone.0104679"
Andrena.angustior,Andrena angustior,Andrena,angustior,1.88,ITD,mm,,,"Fortel, L., Henry, M., Guilbaud, L., Guirao, A. L., Kuhlmann, M., Mouret, H., — Vaissière, B. E. (2014). Decreasing abundance, increasing diversity and changing structure of the wild bee community (hymenoptera: anthophila) along an urbanization gradient. PLoS ONE, 9(8). http://doi.org/10.1371/journal.pone.0104679"
Andrena.angustitarsata,Andrena angustitarsata,Andrena,angustitarsata,1.805,ITD,mm,,,"Kremen C, M'Gonigle LK (2015) Small-scale restoration in intensive agricultural landscapes supports more specialized and less mobile pollinator species. Journal of Applied Ecology 52(3): 602-610. http://dx.doi.org/10.1111/1365-2664.12419"
