,Order,Pollinator.name,Genus,Species,Taxa,SystemCode,Degree,SystemReference,Size,SizeType,Mass
314,Hymenoptera,Ctenioschelus.goeryi,Ctenioschelus,goeryi,Ctenioschelus goeryi,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,15,BL,
315,Hymenoptera,Ctenioschelus.goeryi,Ctenioschelus,goeryi,Ctenioschelus goeryi,cer,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,15,BL,
316,Lepidoptera,Ctenucha.sp,Ctenucha,sp,Ctenucha sp,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",45,WS,
317,,Curtipogon.leucozona,Curtipogon,leucozona,Curtipogon leucozona,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",NA,NA,
318,Coleoptera,Cyclocephala.gravis,Cyclocephala,gravis,Cyclocephala gravis,gsv,1,"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",14.8,BL,
319,Coleoptera,Cyphon.variabilis,Cyphon,variabilis,Cyphon variabilis,otw,1,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",3.5,BL,
320,Coleoptera,Dalopius.sp,Dalopius,sp,Dalopius sp,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",8.08,BL,
321,,Dasasyrphus.venustus,Dasasyrphus,venustus,Dasasyrphus venustus,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",NA,NA,
322,Hymenoptera,Dasyhalonia.phaeoptera,Dasyhalonia,phaeoptera,Dasyhalonia phaeoptera,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12.5,BL,
323,Hymenoptera,Dasyhalonia.sp,Dasyhalonia,sp,Dasyhalonia sp,bbg,10,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12.5,BL,
324,Diptera,Dasyhelea.sp,Dasyhelea,sp,Dasyhelea sp,tun,1,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",2.13,BL,
325,Diptera,Dasyllis.fernaldi,Dasyllis,fernaldi,Dasyllis fernaldi,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",16.5,BL,
326,Diptera,Delia.fabricii,Delia,fabricii,Delia fabricii,tun,2,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",4.5,BL,
327,Diptera,Delia.platura,Delia,platura,Delia platura,tun,3,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",5.6,BL,
