,Order,Pollinator.name,Genus,Species,Taxa,SystemCode,Degree,SystemReference,Size,SizeType,Mass
1,Hymenoptera,Acanthopus.excellens,Acanthopus,excellens,Acanthopus excellens,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,22.5,BL,
2,Coleoptera,Acmaeops.pratensis,Acmaeops,pratensis,Acmaeops pratensis,ppc,3,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",7,BL,
3,Coleoptera,Acmaeopsoides.rufula,Acmaeopsoides,rufula,Acmaeopsoides rufula,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",12,BL,
4,Diptera,Adejeania.vexatrix,Adejeania,vexatrix,Adejeania vexatrix,ppc,3,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",19,BL,
5,Lepidoptera,Adela.purpurea,Adela,purpurea,Adela purpurea,otw,1,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",7,BL,
6,Diptera,Aedes.impiger,Aedes,impiger,Aedes impiger,tun,1,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",6.15,BL,
7,Diptera,Aedes.nigripes,Aedes,nigripes,Aedes nigripes,tun,2,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",6.35,BL,
8,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,cer,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL,
9,Hymenoptera,Agapostemon.chapadensis,Agapostemon,chapadensis,Agapostemon chapadensis,bbg,5,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,10,BL,
10,Hymenoptera,Agapostemon.coloradensis,Agapostemon,coloradensis,Agapostemon coloradensis,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10.75,BL,
11,Hymenoptera,Agapostemon.sp,Agapostemon,sp,Agapostemon sp,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10.75,BL,
12,Hymenoptera,Agapostemon.splendens,Agapostemon,splendens,Agapostemon splendens,ppc,4,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",2.384285714,ITD,
13,Hymenoptera,Agathis.vulgaris,Agathis,vulgaris,Agathis vulgaris,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL,
14,NA,Agiotes.stabilis,Agiotes,stabilis,Agiotes stabilis,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",NA,NA,
15,Apodiformes,Amazilia.fimbriata,Amazilia,fimbriata,Amazilia fimbriata,gsv,2,"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",5.7,Mass,
16,Apodiformes,Amazilia.tobaci,Amazilia,tobaci,Amazilia tobaci,gsv,2,"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",4.275,Mass,
17,Apodiformes,Amazilia.versicolor,Amazilia,versicolor,Amazilia versicolor,hum,6,"Vizentin-Bugoni, J., P. K. Maruyama, V. J. Debastiani, L. S. Duarte, B. Dalsgaard & M. Sazima (2016). Influences of sampling effort on detected patterns and structuring processes of a Neotropical plant-hummingbird network. Journal of Animal Ecology 85: 262-272.",4.1,Mass,
18,Hymenoptera,Ancistrocerus.sp,Ancistrocerus,sp,Ancistrocerus sp,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",9,BL,
19,Hymenoptera,Ancistrocerus.sp,Ancistrocerus,sp,Ancistrocerus sp,ppc,5,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9,BL,
20,Hymenoptera,Ancyloscelis.romeroi,Ancyloscelis,romeroi,Ancyloscelis romeroi,cer,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8,BL,
21,Hymenoptera,Ancyloscelis.sp,Ancyloscelis,sp,Ancyloscelis sp,cer,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,8,BL,
22,Hymenoptera,Andrena.alleghaniensis,Andrena,alleghaniensis,Andrena alleghaniensis,otw,3,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",2.316666667,ITD,
23,Hymenoptera,Andrena.apacheorum,Andrena,apacheorum,Andrena apacheorum,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9,BL,
24,Hymenoptera,Andrena.arabis,Andrena,arabis,Andrena arabis,nca,1,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",1.9,ITD,
25,Hymenoptera,Andrena.braccata,Andrena,braccata,Andrena braccata,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",3.0375,ITD,
26,Hymenoptera,Andrena.bradleyi,Andrena,bradleyi,Andrena bradleyi,otw,5,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",2.033333333,ITD,
27,Hymenoptera,Andrena.canadensis,Andrena,canadensis,Andrena canadensis,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",1.983333333,ITD,
28,Hymenoptera,Andrena.carlini,Andrena,carlini,Andrena carlini,bfi,4,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",2.696428571,ITD,
29,Hymenoptera,Andrena.carlini,Andrena,carlini,Andrena carlini,otw,5,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",2.696428571,ITD,
30,Hymenoptera,Andrena.carlini,Andrena,carlini,Andrena carlini,nca,7,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",2.696428571,ITD,
31,Hymenoptera,Andrena.carolina,Andrena,carolina,Andrena carolina,otw,4,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",1.7,ITD,
32,Hymenoptera,Andrena.ceanothi,Andrena,ceanothi,Andrena ceanothi,nca,1,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",2.583333333,ITD,
33,Hymenoptera,Andrena.chrysosceles,Andrena,chrysosceles,Andrena chrysosceles,snk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",1.97,ITD,
34,Hymenoptera,Andrena.crataegi,Andrena,crataegi,Andrena crataegi,ppc,9,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",2.2,ITD,
35,Hymenoptera,Andrena.cressonii,Andrena,cressonii,Andrena cressonii,bfi,2,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",1.75,ITD,
36,Hymenoptera,Andrena.dunningi,Andrena,dunningi,Andrena dunningi,nca,1,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",2.4375,ITD,
37,Hymenoptera,Andrena.edwiniae,Andrena,edwiniae,Andrena edwiniae,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",12,BL,
38,Hymenoptera,Andrena.erigeniae,Andrena,erigeniae,Andrena erigeniae,nca,4,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",1.3,ITD,
39,Hymenoptera,Andrena.erigeniae,Andrena,erigeniae,Andrena erigeniae,bfi,4,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",1.3,ITD,
40,Hymenoptera,Andrena.erythronii,Andrena,erythronii,Andrena erythronii,bfi,1,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",2.29775,ITD,
41,Hymenoptera,Andrena.forbesii,Andrena,forbesii,Andrena forbesii,bfi,3,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",2.0995,ITD,
42,Hymenoptera,Andrena.gardineri,Andrena,gardineri,Andrena gardineri,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10,BL,
43,Hymenoptera,Andrena.haemorrhoa,Andrena,haemorrhoa,Andrena haemorrhoa,hnk,3,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",2.63,ITD,
44,Hymenoptera,Andrena.imitatrix,Andrena,imitatrix,Andrena imitatrix,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",1.9,ITD,
45,Hymenoptera,Andrena.imitatrix,Andrena,imitatrix,Andrena imitatrix,nca,1,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",1.9,ITD,
46,Hymenoptera,Andrena.lewisi,Andrena,lewisi,Andrena lewisi,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL,
47,Hymenoptera,Andrena.madronitens,Andrena,madronitens,Andrena madronitens,ppc,14,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL,
48,Hymenoptera,Andrena.mandibularis,Andrena,mandibularis,Andrena mandibularis,otw,6,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",2.18,ITD,
49,Hymenoptera,Andrena.melanochroa,Andrena,melanochroa,Andrena melanochroa,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",1.125,ITD,
50,Hymenoptera,Andrena.miranda,Andrena,miranda,Andrena miranda,bwk,2,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",2.0375,ITD,
51,Hymenoptera,Andrena.miserabilis,Andrena,miserabilis,Andrena miserabilis,bfi,2,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",1.698214286,ITD,
52,Hymenoptera,Andrena.nasonii,Andrena,nasonii,Andrena nasonii,bfi,3,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",1.8,ITD,
53,Hymenoptera,Andrena.nasonii,Andrena,nasonii,Andrena nasonii,nca,3,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",1.8,ITD,
54,Hymenoptera,Andrena.nigrihirta,Andrena,nigrihirta,Andrena nigrihirta,nca,6,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",2.45,ITD,
55,Hymenoptera,Andrena.nivalis,Andrena,nivalis,Andrena nivalis,bwk,2,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",2.62108,ITD,
56,Hymenoptera,Andrena.personata,Andrena,personata,Andrena personata,bfi,1,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",6.1,BL,
57,Hymenoptera,Andrena.personata,Andrena,personata,Andrena personata,nca,1,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",6.1,BL,
58,Hymenoptera,Andrena.placida,Andrena,placida,Andrena placida,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10.5,BL,
59,Hymenoptera,Andrena.prunorum,Andrena,prunorum,Andrena prunorum,ppc,4,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",2.6,ITD,
60,Hymenoptera,Andrena.pubescens,Andrena,pubescens,Andrena pubescens,hnk,2,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",1.4,BL,
61,Hymenoptera,Andrena.pubescens,Andrena,pubescens,Andrena pubescens,snk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",1.4,BL,
62,Hymenoptera,Andrena.regularis,Andrena,regularis,Andrena regularis,otw,7,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",2.6,ITD,
63,Hymenoptera,Andrena.rufosignata,Andrena,rufosignata,Andrena rufosignata,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",2.566666667,ITD,
64,Hymenoptera,Andrena.rugosa,Andrena,rugosa,Andrena rugosa,bfi,3,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",2.3,ITD,
65,Hymenoptera,Andrena.sigmundi,Andrena,sigmundi,Andrena sigmundi,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",2.7375,ITD,
66,Hymenoptera,Andrena.sp,Andrena,sp,Andrena sp,ppc,3,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",8,BL,
67,Hymenoptera,Andrena.sp,Andrena,sp,Andrena sp,bfi,1,"Schemske, D. W., M. F. Willson, M. N. Melampy, L. J. Miller, L. Verner, K. M. Schemske, and L. B. Best. 1978. Flowering Ecology of Some Spring Woodland Herbs. Ecology 59:351-366.",8,BL,
68,Hymenoptera,Andrena.thaspii,Andrena,thaspii,Andrena thaspii,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",2.5625,ITD,
69,Hymenoptera,Andrena.tridens,Andrena,tridens,Andrena tridens,nca,5,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",2.39,ITD,
70,Hymenoptera,Andrena.vicina,Andrena,vicina,Andrena vicina,otw,8,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",2.48125,ITD,
71,Hymenoptera,Andrena.vicina,Andrena,vicina,Andrena vicina,ppc,10,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",2.48125,ITD,
72,Hymenoptera,Andrena.violae,Andrena,violae,Andrena violae,nca,1,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",10,BL,
73,Hymenoptera,Andrena.w,Andrena,w,Andrena w,bwk,2,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",8,BL,
74,Hymenoptera,Andrena.washingtoni,Andrena,washingtoni,Andrena washingtoni,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9,BL,
75,Hymenoptera,Andrena.wheeleri,Andrena,wheeleri,Andrena wheeleri,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",9,BL,
76,Hymenoptera,Andrena.wilkella,Andrena,wilkella,Andrena wilkella,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",2.15,ITD,
77,Hymenoptera,Andrena.wilkella,Andrena,wilkella,Andrena wilkella,hnk,5,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",2.15,ITD,
78,Hymenoptera,Andrena.ziziaeformis,Andrena,ziziaeformis,Andrena ziziaeformis,nca,2,"Motten, A. F. 1982. Pollination Ecology of the Spring Wildflower Community in the Deciduous Forests of Piedmont North Carolina. Doctoral Dissertation thesis, Duke University, Duhram, North Carolina, USA; Motten, A. F. 1986. Pollination ecology of the spring wildflower community of a temperate deciduous forest. Ecological Monographs 56:21-42.",8,BL,
79,NA,Andronicus.sp,Andronicus,sp,Andronicus sp,ppc,4,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",NA,NA,
80,NA,Anosymia.sp,Anosymia,sp,Anosymia sp,hnk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",NA,NA,
81,Coleoptera,Anthaxia.expansa,Anthaxia,expansa,Anthaxia expansa,bwk,2,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",5.55,BL,
82,Hymenoptera,Anthidiellum.sp,Anthidiellum,sp,Anthidiellum sp,gsv,1,"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",7.25,BL,
83,Hymenoptera,Anthidium.sertanicola,Anthidium,sertanicola,Anthidium sertanicola,cer,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,12.5,BL,
84,Hymenoptera,Anthidium.sp,Anthidium,sp,Anthidium sp,gsv,2,"Ramirez, N., and Y. Brito. 1992. Pollination Biology in a Palm Swamp Community in the Venezuelan Central Plains. Botanical Journal of the Linnean Society 110:277-302.",12.5,BL,
85,Hymenoptera,Anthidium.tenuiflorae,Anthidium,tenuiflorae,Anthidium tenuiflorae,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10,BL,
86,Hymenoptera,Anthodioctes.megachiloides,Anthodioctes,megachiloides,Anthodioctes megachiloides,bbg,7,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7.5,BL,
87,Hymenoptera,Anthodioctes.megachiloides,Anthodioctes,megachiloides,Anthodioctes megachiloides,cer,3,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. ,7.5,BL,
88,Diptera,Anthomyia.sp,Anthomyia,sp,Anthomyia sp,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",5.6,BL,
89,Diptera,Anthomyiidae.sp,Anthomyiidae,sp,Anthomyiidae sp,hnk,3,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",6,BL,
90,Coleoptera,Anthonomus.sp,Anthonomus,sp,Anthonomus sp,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",3,BL,
91,Hymenoptera,Anthophora.bomboides,Anthophora,bomboides,Anthophora bomboides,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",3.7,ITD,
92,Hymenoptera,Anthophora.neomexicana,Anthophora,neomexicana,Anthophora neomexicana,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",3.7,ITD,
93,Hymenoptera,Anthophora.occidentalis,Anthophora,occidentalis,Anthophora occidentalis,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",15,BL,
94,Hymenoptera,Anthophora.plumipes,Anthophora,plumipes,Anthophora plumipes,snk,1,"Dicks, LV, Corbet, SA and Pywell, RF 2002. Compartmentalization in plant-insect flower visitor webs. J. Anim. Ecol. 71: 32-43.",4.5,ITD,
95,Hymenoptera,Anthophora.simillima,Anthophora,simillima,Anthophora simillima,ppc,11,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",15.5,BL,
96,Hymenoptera,Anthophora.smithi,Anthophora,smithi,Anthophora smithi,ppc,3,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",15,BL,
97,Hymenoptera,Anthophora.terminalis,Anthophora,terminalis,Anthophora terminalis,ppc,15,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",3.7625,ITD,
98,Diptera,Anthrax.alternata,Anthrax,alternata,Anthrax alternata,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",12.5,BL,
99,Diptera,Anthrax.fulviana,Anthrax,fulviana,Anthrax fulviana,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",11,BL,
100,Diptera,Anthrax.halcyon,Anthrax,halcyon,Anthrax halcyon,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9.4,BL,
101,Diptera,Anthrax.hypomelas,Anthrax,hypomelas,Anthrax hypomelas,ppc,2,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",14,BL,
102,Diptera,Anthrax.lateralis,Anthrax,lateralis,Anthrax lateralis,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",10,BL,
103,Diptera,Anthrax.nigra,Anthrax,nigra,Anthrax nigra,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",9.4,BL,
