,Pollinator.name,Genus,Species,SystemCode,Degree,SystemReference,Size,SizeType
795,Sphex.vulgaris,Sphex,vulgaris,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",28.5,BL
796,Spilogona.fatima,Spilogona,fatima,otw,4,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",4.84,BL
797,Spilogona.sanctipauli,Spilogona,sanctipauli,tun,9,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",4.65,BL
798,Stenomacrus.sp,Stenomacrus,sp,tun,1,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",3,BL
799,Stephanoxis.lalandi,Stephanoxis,lalandi,hum,6,"Vizentin-Bugoni, J., P. K. Maruyama, V. J. Debastiani, L. S. Duarte, B. Dalsgaard & M. Sazima (2016). Influences of sampling effort on detected patterns and structuring processes of a Neotropical plant-hummingbird network. Journal of Animal Ecology 85: 262-272.",87.5,BL
800,Sterictophora.sp,Sterictophora,sp,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",#N/A,#N/A
801,Synanthedon.albicornis,Synanthedon,albicornis,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",19,WS
802,Syngrapha.borea,Syngrapha,borea,tun,3,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",32.5,WS
803,Syngrapha.u-aureum,Syngrapha,u-aureum,tun,1,"Witt P (1998) BSc thesis. Univ of Aarhus, Aarhus, Denmark.",35,WS
804,Syritta.pipiens,Syritta,pipiens,bwk,1,"Barrett, S. C. H., and K. Helenurm. 1987. The Reproductive-Biology of Boreal Forest Herbs.1. Breeding Systems and Pollination. Canadian Journal of Botany 65:2036-2046.",7.5,BL
805,Syritta.pipiens,Syritta,pipiens,ppc,1,"Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington.",7.5,BL
806,Syritta.pipiens,Syritta,pipiens,otw,4,"Small, E. 1976. Insect pollinators of the Mer Bleue peat bog of Ottawa. Canadian Field Naturalist 90:22-28.",7.5,BL
