Pollinator.name,Taxa,Genus,Species,PlantName,Interactions,SystemCode,Season,Day,Month,Year,SystemLocation,Reference
Argynnis.atlantis,Argynnis atlantis,Argynnis,atlantis,Erigeron macranthus,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Argynnis.atlantis,Argynnis atlantis,Argynnis,atlantis,Penstemon secundiflorus,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Bombylius.atriceps,Bombylius atriceps,Bombylius,atriceps,Rosa acicularis,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Melissodes.aurigenia,Melissodes aurigenia,Melissodes,aurigenia,Chamaenerium angustifolium,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Prosopis.basalis,Prosopis basalis,Prosopis,basalis,Rubus deliciosus,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Prosopis.basalis,Prosopis basalis,Prosopis,basalis,Geranium caespitosum,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Prosopis.basalis,Prosopis basalis,Prosopis,basalis,Rosa acicularis,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Prosopis.basalis,Prosopis basalis,Prosopis,basalis,Chamaenerium angustifolium,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Prosopis.basalis,Prosopis basalis,Prosopis,basalis,Pentstemon gracilis,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
Prosopis.basalis,Prosopis basalis,Prosopis,basalis,Penstemon secundiflorus,1,ppc,,,,,"Pikes Peak, Colorado, USA","Clements, R. E., and F. L. Long. 1923, Experimental pollination. An outline of the ecology of flowers and insects. Washington, D.C., USA, Carnegie Institute of Washington."
