Pollinator.name,Genus,Species,SystemCode,Degree,SystemReference
Ceratina.sp,Ceratina,sp,bbg,24,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Coelioxys.sp,Coelioxys,sp,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Colletes.petropolitanus,Colletes,petropolitanus,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Colletes.rufipes,Colletes,rufipes,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Colletes.sp,Colletes,sp,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Ctenioschelus.goeryi,Ctenioschelus,goeryi,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Dasyhalonia.phaeoptera,Dasyhalonia,phaeoptera,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Dasyhalonia.sp,Dasyhalonia,sp,bbg,10,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Dianthidium.sp,Dianthidium,sp,bbg,3,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Epanthidium.aureocinctum,Epanthidium,aureocinctum,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Epanthidium.tigrinum,Epanthidium,tigrinum,bbg,2,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Epicharis.affinis,Epicharis,affinis,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Epicharis.albofasciata,Epicharis,albofasciata,bbg,1,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
Epicharis.analis,Epicharis,analis,bbg,3,Aseasonal Pollinators Connect Dry and Rainy Season Modules in the Cerrado Cappellari Rabeling et al. 
