,Pollinator.name,Genus,Species,Size,SizeType
5983,Tetragona.sp,Tetragona,sp,6.5,BL
5986,Tetralonia.sp,Tetralonia,sp,13,BL
5991,Tetraloniella.sp,Tetraloniella,sp,11,BL
5992,Tetralonioidella.sp,Tetralonioidella,sp,11,BL
5993,Tetraopes.sp,Tetraopes,sp,9,BL
5995,Tetrapedia.sp,Tetrapedia,sp,10.5,BL
5996,Thalestria.sp,Thalestria,sp,15.5,BL
5999,Thectochlora.sp,Thectochlora,sp,7,BL
6000,Thevenetimyia.sp,Thevenetimyia,sp,12,BL
6001,Thrinchostoma.sp,Thrinchostoma,sp,12,BL
6002,Thrincohalictus.sp,Thrincohalictus,sp,9.5,BL
6003,Thygater.sp,Thygater,sp,13,BL
6005,Thymelicus.sp,Thymelicus,sp,28,WS
6006,Thyreocoris.sp,Thyreocoris,sp,3.5,BL
6008,Thyreus.sp,Thyreus,sp,11,BL
6010,Thysanoptera.sp,Thysanoptera,sp,1.5,BL
6012,Toromelissa.sp,Toromelissa,sp,7.5,BL
6013,Townsendiella.sp,Townsendiella,sp,5,BL
6017,Trachusa.sp,Trachusa,sp,14.25,BL
6018,Trachusoides.sp,Trachusoides,sp,12,BL
6021,Trichocerapis.sp,Trichocerapis,sp,13,BL
6022,Trichocolletes.sp,Trichocolletes,sp,14,BL
6024,Trichonomada.sp,Trichonomada,sp,6.15,BL
6025,Trichothurgus.sp,Trichothurgus,sp,14,BL
6026,Trichotrigona.sp,Trichotrigona,sp,5,BL
6035,Trigona.sp,Trigona,sp,7,BL
6037,Trigonisca.sp,Trigonisca,sp,3,BL
6038,Trigonopedia.sp,Trigonopedia,sp,9,BL
6039,Triopasites.sp,Triopasites,sp,5.25,BL
6042,Tropidopedia.sp,Tropidopedia,sp,9,BL
6043,Tumidihesma.sp,Tumidihesma,sp,6,BL
6047,Urohalictus.sp,Urohalictus,sp,11,BL
6048,Uromonia.sp,Uromonia,sp,11.5,BL
6053,Wania.sp,Wania,sp,7.5,BL
6054,Xanthesma.sp,Xanthesma,sp,5.35,BL
6057,Xanthopedia.sp,Xanthopedia,sp,9,BL
6058,Xenochilicola.sp,Xenochilicola,sp,2.75,BL
6059,Xenochlora.sp,Xenochlora,sp,10.5,BL
6060,Xenoglossa.sp,Xenoglossa,sp,17.5,BL
6061,Xenoheriades.sp,Xenoheriades,sp,5.75,BL
6062,Xenorhiza.sp,Xenorhiza,sp,7,BL
6063,Xeralictus.sp,Xeralictus,sp,11.75,BL
6065,Xeromelecta.sp,Xeromelecta,sp,12,BL
6066,Xeromelissa.sp,Xeromelissa,sp,6,BL
6069,Xylocopa.sp,Xylocopa,sp,21.5,BL
6076,Xylota.sp,Xylota,sp,9,BL
6077,Zacosmia.sp,Zacosmia,sp,7,BL
6078,Zodion.sp,Zodion,sp,10,BL
