,Pollinator.name,Genus,Species,Size,SizeType
2557,Chilimelissa.sp,Chilimelissa,sp,5,BL
2558,Chlerogas.sp,Chlerogas,sp,12.25,BL
2559,Chlerogella.sp,Chlerogella,sp,8,BL
2560,Chlerogelloides.sp,Chlerogelloides,sp,6.2,BL
2562,Chrysis.sp,Chrysis,sp,9,BL
2563,Chrysocolletes.sp,Chrysocolletes,sp,11,BL
2564,Chrysogaster.sp,Chrysogaster,sp,5,BL
2570,Chrysotoxum.sp,Chrysotoxum,sp,14.5,BL
2571,Cleptotrigona.sp,Cleptotrigona,sp,3.75,BL
2572,Clisodon.sp,Clisodon,sp,10.5,BL
2576,Coelioxoides.sp,Coelioxoides,sp,10.25,BL
2588,Coelioxys.sp,Coelioxys,sp,13.5,BL
2609,Colletes.sp,Colletes,sp,11.5,BL
2612,Compsomelissa.sp,Compsomelissa,sp,4.75,BL
2613,Conanthalictus.sp,Conanthalictus,sp,5,BL
2616,Corynura.sp,Corynura,sp,8.5,BL
2617,Crabro.sp,Crabro,sp,12,BL
2618,Crawfordapis.sp,Crawfordapis,sp,21,BL
2619,Ctenioschelus.sp,Ctenioschelus,sp,15,BL
2620,Ctenocolletes.sp,Ctenocolletes,sp,17.25,BL
2621,Ctenoplectra.sp,Ctenoplectra,sp,9.75,BL
2622,Ctenoplectrina.sp,Ctenoplectrina,sp,6,BL
2623,Ctenucha.sp,Ctenucha,sp,45,WS
2624,Cubitalia.sp,Cubitalia,sp,15,BL
2626,Cyphanthidium.sp,Cyphanthidium,sp,8,BL
2628,Dactylurina.sp,Dactylurina,sp,6,BL
2629,Dalopius.sp,Dalopius,sp,8.08,BL
2630,Dasyhalonia.sp,Dasyhalonia,sp,12.5,BL
2631,Dasyhelea.sp,Dasyhelea,sp,2.13,BL
2632,Dasyhesma.sp,Dasyhesma,sp,8,BL
2636,Dasypoda.sp,Dasypoda,sp,14,BL
2642,Delia.sp,Delia,sp,4.5,BL
2643,Deltoptila.sp,Deltoptila,sp,12.5,BL
2647,Diadasia.sp,Diadasia,sp,12.5,BL
2648,Diadasina.sp,Diadasina,sp,7,BL
2656,Dialictus.sp,Dialictus,sp,5.75,BL
2658,Dianthidium.sp,Dianthidium,sp,14.25,BL
2661,Dieunomia.sp,Dieunomia,sp,15,BL
2662,Dilophus.sp,Dilophus,sp,4.55,BL
2663,Dinagapostemon.sp,Dinagapostemon,sp,12.75,BL
2664,Dioxys.sp,Dioxys,sp,9,BL
2665,Diphaglossa.sp,Diphaglossa,sp,18,BL
2669,Dolichovespula.sp,Dolichovespula,sp,14.25,BL
2671,Duckeanthidium.sp,Duckeanthidium,sp,12.25,BL
2672,Dufourea.sp,Dufourea,sp,7.25,BL
2673,Echthralictus.sp,Echthralictus,sp,5.75,BL
2674,Eclimus.sp,Eclimus,sp,7.5,BL
2675,Ectemnius.sp,Ectemnius,sp,10,BL
2676,Effractapis.sp,Effractapis,sp,4,BL
2677,Elaphropoda.sp,Elaphropoda,sp,15.5,BL
2679,Ensliniana.sp,Ensliniana,sp,8.25,BL
2680,Eoanthidium.sp,Eoanthidium,sp,8,BL
2681,Epalpus.sp,Epalpus,sp,11,BL
2682,Epanthidium.sp,Epanthidium,sp,9,BL
2683,Epeoloides.sp,Epeoloides,sp,8.5,BL
2690,Ephemerella.sp,Ephemerella,sp,10,BL
2691,Epicharis.sp,Epicharis,sp,20,BL
2692,Epiclopus.sp,Epiclopus,sp,12.5,BL
2699,Eremaphanta.sp,Eremaphanta,sp,5.25,BL
2700,Eremapis.sp,Eremapis,sp,4.25,BL
2701,Eremomyioides.sp,Eremomyioides,sp,8,BL
2702,Ericrocis.sp,Ericrocis,sp,12,BL
2705,Eristalinus.sp,Eristalinus,sp,16,BL
2712,Eristalis.sp,Eristalis,sp,12,BL
2716,Euaspis.sp,Euaspis,sp,11.5,BL
2722,Eucera.sp,Eucera,sp,14,BL
2723,Eucerinoda.sp,Eucerinoda,sp,10.75,BL
2725,Eucondylops.sp,Eucondylops,sp,6.25,BL
2727,Eudioxys.sp,Eudioxys,sp,6.75,BL
2728,Eufriesea.sp,Eufriesea,sp,20,BL
2731,Euglossa.sp,Euglossa,sp,14,BL
2732,Euherbstia.sp,Euherbstia,sp,15.5,BL
2733,Euhesma.sp,Euhesma,sp,6.25,BL
2735,Eulaema.sp,Eulaema,sp,24.5,BL
2736,Eulonchopria.sp,Eulonchopria,sp,9.5,BL
2737,Eumenes.sp,Eumenes,sp,15.5,BL
2744,Eupeodes.sp,Eupeodes,sp,10,BL
2745,Eupetersia.sp,Eupetersia,sp,8.5,BL
2752,Euryglossa.sp,Euryglossa,sp,10,BL
2753,Euryglossina.sp,Euryglossina,sp,3.4,BL
2754,Euryglossula.sp,Euryglossula,sp,3,BL
2756,Eusphalerum.sp,Eusphalerum,sp,2.4,BL
2757,Eusphalerum.sp,Eusphalerum,sp,3.2,BL
2762,Exaerete.sp,Exaerete,sp,23,BL
2764,Exomalopsis.sp,Exomalopsis,sp,8,BL
2765,Exoneura.sp,Exoneura,sp,6.25,BL
2766,Exoneurella.sp,Exoneurella,sp,6.75,BL
